MatchID,Stage,Player1ID,Player2ID,WinnerID,MatchStatus,Time,DurationInSeconds,Date
M001,Qualifiers,P001,P002,P001,Completed,0900,1500,20250520
M002,Qualifiers,P003,P004,-1,Scheduled,1000,1800,20250520
M003,Group stage,P001,P003,P003,Completed,1100,1700,20250521
M004,Group stage,P002,P004,P004,Completed,1200,1650,20250521
M005,Knockout,P001,P004,P004,Completed,1400,1800,20250522
M006,Semifinal,P002,P003,-1,Scheduled,1500,1800,20250522
M007,Final,P003,P004,P003,Completed,1600,1900,20250523
M001,Qualifiers,P001,P002,-1,Scheduled,1430,1800,20250524
M002,Knockout,P003,P004,P004,Completed,1600,1200,20250525
M001,Qualifiers,P001,P002,P001,Completed,0900,1500,20250520
M002,Qualifiers,P003,P004,-1,Scheduled,1000,1800,20250520
M003,Group stage,P001,P003,P003,Completed,1100,1700,20250521
